,words,sounds,sents
53,acceptance,"['AH', 'K', 'S', 'EH', 'P', 'T', 'AH', 'N', 'S']",0.4588
54,acceptances,"['AE', 'K', 'S', 'EH', 'P', 'T', 'AH', 'N', 'S', 'IH', 'Z']",0.4019
55,acceptant,"['AE', 'K', 'S', 'EH', 'P', 'T', 'AH', 'N', 'T']",0.3818
56,acceptation,"['AE', 'K', 'S', 'EH', 'P', 'T', 'EY', 'SH', 'AH', 'N']",0.3182
57,acceptations,"['AE', 'K', 'S', 'EH', 'P', 'T', 'EY', 'SH', 'AH', 'N', 'Z']",0.2263
58,accepted,"['AE', 'K', 'S', 'EH', 'P', 'T', 'IH', 'D']",0.2732
59,accepting,"['AE', 'K', 'S', 'EH', 'P', 'T', 'IH', 'NG']",0.3818
60,accepting,"['AH', 'K', 'S', 'EH', 'P', 'T', 'IH', 'NG']",0.3818
61,accepts,"['AE', 'K', 'S', 'EH', 'P', 'T', 'S']",0.3182
62,accident,"['AE', 'K', 'S', 'AH', 'D', 'AH', 'N', 'T']",-0.4767
63,accidental,"['AE', 'K', 'S', 'AH', 'D', 'EH', 'N', 'T', 'AH', 'L']",-0.0772
64,accidental,"['AE', 'K', 'S', 'AH', 'D', 'EH', 'N', 'AH', 'L']",-0.0772
65,accidentally,"['AE', 'K', 'S', 'AH', 'D', 'EH', 'N', 'T', 'AH', 'L', 'IY']",-0.34
66,accidentally,"['AE', 'K', 'S', 'AH', 'D', 'EH', 'N', 'AH', 'L', 'IY']",-0.34
67,accidents,"['AE', 'K', 'S', 'AH', 'D', 'AH', 'N', 'T', 'S']",-0.3182
68,accomplish,"['AH', 'K', 'AA', 'M', 'P', 'L', 'IH', 'SH']",0.4215
69,accomplished,"['AH', 'K', 'AA', 'M', 'P', 'L', 'IH', 'SH', 'T']",0.4404
70,accomplishes,"['AH', 'K', 'AA', 'M', 'P', 'L', 'IH', 'SH', 'IH', 'Z']",0.4019
71,accusation,"['AE', 'K', 'Y', 'AH', 'Z', 'EY', 'SH', 'AH', 'N']",-0.25
72,accusation,"['AE', 'K', 'Y', 'UW', 'Z', 'EY', 'SH', 'AH', 'N']",-0.25
73,accusations,"['AE', 'K', 'Y', 'AH', 'Z', 'EY', 'SH', 'AH', 'N', 'Z']",-0.3182
74,accusations,"['AE', 'K', 'Y', 'UW', 'Z', 'EY', 'SH', 'AH', 'N', 'Z']",-0.3182
75,accuse,"['AH', 'K', 'Y', 'UW', 'Z']",-0.2023
76,accused,"['AH', 'K', 'Y', 'UW', 'Z', 'D']",-0.296
77,accuses,"['AH', 'K', 'Y', 'UW', 'Z', 'IH', 'Z']",-0.34
78,accusing,"['AH', 'K', 'Y', 'UW', 'Z', 'IH', 'NG']",-0.1779
79,ache,"['EY', 'K']",-0.3818
80,ached,"['EY', 'K', 'T']",-0.3818
81,aches,"['EY', 'K', 'S']",-0.25
82,achievable,"['AH', 'CH', 'IY', 'V', 'AH', 'B', 'AH', 'L']",0.3182
83,aching,"['EY', 'K', 'IH', 'NG']",-0.4939
84,acquit,"['AH', 'K', 'W', 'IH', 'T']",0.2023
85,acquits,"['AH', 'K', 'W', 'IH', 'T', 'S']",0.0258
86,acquitted,"['AH', 'K', 'W', 'IH', 'T', 'IH', 'D']",0.25
87,acquitting,"['AH', 'K', 'W', 'IH', 'T', 'IH', 'NG']",0.3182
88,acrimonious,"['AE', 'K', 'R', 'AH', 'M', 'OW', 'N', 'IY', 'AH', 'S']",-0.4019
89,active,"['AE', 'K', 'T', 'IH', 'V']",0.4019
90,actively,"['AE', 'K', 'T', 'IH', 'V', 'L', 'IY']",0.3182
91,activeness,"['AE', 'K', 'T', 'IH', 'V', 'N', 'AH', 'S']",0.1531
92,activenesses,"['AE', 'K', 'T', 'IH', 'V', 'N', 'AH', 'S', 'IH', 'Z']",0.2023
93,actives,"['AE', 'K', 'T', 'IH', 'V', 'Z']",0.2732
94,adequate,"['AE', 'D', 'AH', 'K', 'W', 'AH', 'T']",0.2263
95,adequate,"['AE', 'D', 'AH', 'K', 'W', 'EY', 'T']",0.2263
96,admirability,"['AH', 'D', 'M', 'AY', 'ER', 'AH', 'B', 'IH', 'L', 'AH', 'T', 'EH']",0.5267
97,admirable,"['AE', 'D', 'M', 'ER', 'AH', 'B', 'AH', 'L']",0.5574
98,admirable,"['AE', 'D', 'M', 'R', 'AH', 'B', 'AH', 'L']",0.5574
99,admirableness,"['AE', 'D', 'M', 'AH', 'R', 'AH', 'B', 'AH', 'L', 'N', 'AH', 'S']",0.4939
100,admirably,"['AE', 'D', 'M', 'ER', 'AH', 'B', 'L', 'IY']",0.5423
101,admiral,"['AE', 'D', 'M', 'ER', 'AH', 'L']",0.3182
102,admirals,"['AE', 'D', 'M', 'ER', 'AH', 'L', 'Z']",0.3612
103,admiralties,"['AE', 'D', 'M', 'AH', 'R', 'AH', 'L', 'T', 'IY', 'Z']",0.3818
104,admiralty,"['AE', 'D', 'M', 'ER', 'AH', 'L', 'T', 'IY']",0.296
105,admiration,"['AE', 'D', 'M', 'ER', 'EY', 'SH', 'AH', 'N']",0.5423
106,admirations,"['AE', 'D', 'M', 'ER', 'EY', 'SH', 'AH', 'N', 'Z']",0.3818
107,admire,"['AE', 'D', 'M', 'AY', 'R']",0.4767
108,admired,"['AH', 'D', 'M', 'AY', 'ER', 'D']",0.5106
109,admirer,"['AE', 'D', 'M', 'AY', 'R', 'ER']",0.4215
110,admirers,"['AH', 'D', 'M', 'AY', 'R', 'ER', 'Z']",0.4019
111,admires,"['AE', 'D', 'M', 'AY', 'R', 'Z']",0.3612
112,admiring,"['AE', 'D', 'M', 'AY', 'R', 'IH', 'NG']",0.3818
113,admiringly,"['AE', 'D', 'M', 'AY', 'R', 'IH', 'NG', 'L', 'IY']",0.5106
114,admit,"['AH', 'D', 'M', 'IH', 'T']",0.2023
115,admits,"['AH', 'D', 'M', 'IH', 'T', 'S']",0.296
116,admitted,"['AH', 'D', 'M', 'IH', 'T', 'AH', 'D']",0.1027
117,admonished,"['AH', 'D', 'M', 'AA', 'N', 'IH', 'SH', 'T']",-0.4404
118,adopt,"['AH', 'D', 'AA', 'P', 'T']",0.1779
119,adopts,"['AH', 'D', 'AA', 'P', 'T', 'S']",0.1779
120,adorability,"['AH', 'D', 'OW', 'R', 'AH', 'B', 'IH', 'L', 'AH', 'T', 'EH']",0.4939
121,adorable,"['AH', 'D', 'AO', 'R', 'AH', 'B', 'AH', 'L']",0.4939
122,adorableness,"['AH', 'D', 'OW', 'R', 'AH', 'B', 'AH', 'L', 'N', 'AH', 'S']",0.5423
123,adorably,"['AH', 'D', 'OW', 'R', 'AH', 'B', 'L', 'IY']",0.4767
124,adoration,"['AE', 'D', 'ER', 'EY', 'SH', 'AH', 'N']",0.5994
125,adorations,"['AH', 'D', 'OW', 'R', 'EY', 'SH', 'AH', 'N', 'Z']",0.4939
126,adore,"['AH', 'D', 'AO', 'R']",0.5574
127,adored,"['AH', 'D', 'AO', 'R', 'D']",0.4215
128,adorer,"['AH', 'D', 'OW', 'R', 'ER']",0.4019
129,adorers,"['AH', 'D', 'OW', 'R', 'ER', 'Z']",0.4767
130,adores,"['AH', 'D', 'AO', 'R', 'Z']",0.3818
131,adoring,"['AH', 'D', 'AO', 'R', 'IH', 'NG']",0.5574
132,adoringly,"['AH', 'D', 'OW', 'R', 'IH', 'NG', 'L', 'IY']",0.5267
133,adorn,"['AH', 'D', 'AO', 'R', 'N']",0.2263
134,adorned,"['AH', 'D', 'AO', 'R', 'N', 'D']",0.2023
135,adorner,"['AH', 'D', 'AO', 'R', 'N', 'ER']",0.3182
136,adorners,"['AH', 'D', 'AO', 'R', 'N', 'ER', 'Z']",0.2263
137,adorning,"['AH', 'D', 'AO', 'R', 'N', 'IH', 'NG']",0.25
138,adornment,"['AH', 'D', 'AO', 'R', 'N', 'M', 'AH', 'N', 'T']",0.3182
139,adornments,"['AH', 'D', 'AO', 'R', 'N', 'M', 'AH', 'N', 'T', 'S']",0.2023
140,adorns,"['AH', 'D', 'AO', 'R', 'N', 'Z']",0.128
141,advanced,"['AH', 'D', 'V', 'AE', 'N', 'S', 'T']",0.25
142,advantage,"['AE', 'D', 'V', 'AE', 'N', 'T', 'IH', 'JH']",0.25
143,advantaged,"['AE', 'D', 'V', 'AE', 'N', 'T', 'IH', 'JH', 'D']",0.34
144,advantageous,"['AE', 'D', 'V', 'AH', 'N', 'T', 'EY', 'JH', 'AH', 'S']",0.3612
145,advantageously,"['AE', 'D', 'V', 'AE', 'N', 'T', 'EY', 'JH', 'AH', 'S', 'L', 'IY']",0.4404
146,advantageousness,"['AE', 'D', 'V', 'AE', 'N', 'T', 'EY', 'JH', 'AH', 'S', 'N', 'AH', 'S']",0.3818
147,advantages,"['AE', 'D', 'V', 'AE', 'N', 'T', 'IH', 'JH', 'IH', 'Z']",0.3612
148,advantaging,"['AH', 'D', 'V', 'AE', 'N', 'T', 'IH', 'JH', 'IH', 'NG']",0.3818
149,adventure,"['AE', 'D', 'V', 'EH', 'N', 'CH', 'ER']",0.3182
150,adventure,"['AH', 'D', 'V', 'EH', 'N', 'CH', 'ER']",0.3182
151,adventured,"['AH', 'D', 'V', 'EH', 'N', 'CH', 'ER', 'D']",0.3182
152,adventurer,"['AE', 'D', 'V', 'EH', 'N', 'CH', 'ER', 'ER']",0.296
153,adventurer,"['AH', 'D', 'V', 'EH', 'N', 'CH', 'ER', 'ER']",0.296
154,adventurers,"['AE', 'D', 'V', 'EH', 'N', 'CH', 'ER', 'ER', 'Z']",0.2263
155,adventurers,"['AH', 'D', 'V', 'EH', 'N', 'CH', 'ER', 'ER', 'Z']",0.2263
156,adventures,"['AE', 'D', 'V', 'EH', 'N', 'CH', 'ER', 'Z']",0.34
157,adventuresome,"['AE', 'D', 'V', 'EH', 'N', 'CH', 'ER', 'S', 'AH', 'M']",0.4019
158,adventuresomeness,"['AH', 'D', 'V', 'EH', 'N', 'CH', 'ER', 'S', 'AH', 'M', 'N', 'AH', 'S']",0.3182
159,adventuress,"['AH', 'D', 'V', 'EH', 'N', 'CH', 'ER', 'AH', 'S']",0.2023
160,adventuresses,"['AH', 'D', 'V', 'EH', 'N', 'CH', 'ER', 'AH', 'S', 'IH', 'Z']",0.34
161,adventuring,"['AH', 'D', 'V', 'EH', 'N', 'CH', 'ER', 'IH', 'NG']",0.5106
162,adventurism,"['AE', 'D', 'V', 'EH', 'N', 'CH', 'ER', 'IH', 'Z', 'AH', 'M']",0.3612
163,adventurist,"['AH', 'D', 'V', 'EH', 'N', 'CH', 'ER', 'IH', 'S', 'T']",0.34
164,adventuristic,"['AH', 'D', 'V', 'EH', 'N', 'CH', 'ER', 'IH', 'S', 'T', 'IH', 'K']",0.4019
165,adventurists,"['AH', 'D', 'V', 'EH', 'N', 'CH', 'ER', 'IH', 'S', 'T', 'S']",0.296
166,adventurous,"['AE', 'D', 'V', 'EH', 'N', 'CH', 'ER', 'AH', 'S']",0.34
167,adventurously,"['AH', 'D', 'V', 'EH', 'N', 'CH', 'ER', 'AH', 'S', 'L', 'IY']",0.3182
168,adventurousness,"['AH', 'D', 'V', 'EH', 'N', 'CH', 'ER', 'AH', 'S', 'N', 'AH', 'S']",0.4215
169,adversarial,"['AE', 'D', 'V', 'ER', 'S', 'EH', 'R', 'IY', 'AH', 'L']",-0.3612
170,adversaries,"['AE', 'D', 'V', 'ER', 'S', 'EH', 'R', 'IY', 'Z']",-0.25
171,adversary,"['AE', 'D', 'V', 'ER', 'S', 'EH', 'R', 'IY']",-0.2023
172,adversative,"['AE', 'D', 'V', 'ER', 'S', 'AH', 'T', 'IH', 'V']",-0.296
173,adversatively,"['AE', 'D', 'V', 'ER', 'S', 'AH', 'T', 'IH', 'V', 'L', 'IY']",-0.0258
174,adversatives,"['AE', 'D', 'V', 'ER', 'S', 'AH', 'T', 'IH', 'V', 'Z']",-0.25
175,adverse,"['AE', 'D', 'V', 'ER', 'S']",-0.3612
176,adversely,"['AE', 'D', 'V', 'ER', 'S', 'L', 'IY']",-0.2023
177,adverseness,"['AE', 'D', 'V', 'ER', 'S', 'N', 'AH', 'S']",-0.1531
178,adversities,"['AE', 'D', 'V', 'ER', 'S', 'AH', 'T', 'IY', 'Z']",-0.3612
179,adversity,"['AE', 'D', 'V', 'ER', 'S', 'IH', 'T', 'IY']",-0.4215
180,affected,"['AH', 'F', 'EH', 'K', 'T', 'IH', 'D']",-0.1531
181,affection,"['AH', 'F', 'EH', 'K', 'SH', 'AH', 'N']",0.5267
182,affectional,"['AH', 'F', 'EH', 'K', 'SH', 'AH', 'N', 'AH', 'L']",0.4404
183,affectionally,"['AH', 'F', 'EH', 'K', 'SH', 'AH', 'N', 'AH', 'L', 'IY']",0.3612
184,affectionate,"['AH', 'F', 'EH', 'K', 'SH', 'AH', 'N', 'AH', 'T']",0.4404
185,affectionately,"['AH', 'F', 'EH', 'K', 'SH', 'AH', 'N', 'AH', 'T', 'L', 'IY']",0.4939
186,affectioned,"['AH', 'F', 'EH', 'K', 'SH', 'AH', 'N', 'D']",0.4215
187,affectionless,"['AH', 'F', 'EH', 'K', 'SH', 'AH', 'N', 'L', 'AH', 'S']",-0.4588
188,affections,"['AH', 'F', 'EH', 'K', 'SH', 'AH', 'N', 'Z']",0.3612
189,afflicted,"['AH', 'F', 'L', 'IH', 'K', 'T', 'IH', 'D']",-0.3612
190,affronted,"['AH', 'F', 'R', 'AH', 'N', 'T', 'IH', 'D']",0.0516
191,aggravate,"['AE', 'G', 'R', 'AH', 'V', 'EY', 'T']",-0.5423
192,aggravated,"['AE', 'G', 'R', 'AH', 'V', 'EY', 'T', 'IH', 'D']",-0.4404
193,aggravates,"['AE', 'G', 'R', 'AH', 'V', 'EY', 'T', 'S']",-0.4404
194,aggravating,"['AE', 'G', 'R', 'AH', 'V', 'EY', 'T', 'IH', 'NG']",-0.296
195,aggress,"['AH', 'G', 'R', 'EH', 'S']",-0.3182
196,aggressed,"['AH', 'G', 'R', 'EH', 'S', 'T']",-0.34
197,aggresses,"['AH', 'G', 'R', 'EH', 'S', 'IH', 'Z']",-0.128
198,aggressing,"['AH', 'G', 'R', 'EH', 'S', 'IH', 'NG']",-0.1531
199,aggression,"['AH', 'G', 'R', 'EH', 'SH', 'AH', 'N']",-0.296
200,aggressions,"['AH', 'G', 'R', 'EH', 'SH', 'AH', 'N', 'Z']",-0.3182
201,aggressive,"['AH', 'G', 'R', 'EH', 'S', 'IH', 'V']",-0.1531
202,aggressively,"['AH', 'G', 'R', 'EH', 'S', 'IH', 'V', 'L', 'IY']",-0.3182
203,aggressiveness,"['AH', 'G', 'R', 'EH', 'S', 'IH', 'V', 'N', 'AH', 'S']",-0.4215
204,aggressivities,"['AH', 'G', 'R', 'EH', 'S', 'IH', 'V', 'AH', 'T', 'IY', 'Z']",-0.34
205,aggressivity,"['AH', 'G', 'R', 'EH', 'S', 'IH', 'V', 'IH', 'T', 'IY']",-0.1531
206,aggressor,"['AH', 'G', 'R', 'EH', 'S', 'ER']",-0.2023
207,aggressors,"['AH', 'G', 'R', 'EH', 'S', 'ER', 'Z']",-0.2263
208,aghast,"['AH', 'G', 'AE', 'S', 'T']",-0.4404
209,agitate,"['AE', 'JH', 'AH', 'T', 'EY', 'T']",-0.4019
210,agitated,"['AE', 'JH', 'AH', 'T', 'EY', 'T', 'AH', 'D']",-0.4588
211,agitatedly,"['AE', 'JH', 'AH', 'T', 'EY', 'T', 'AH', 'D', 'L', 'IY']",-0.3818
212,agitates,"['AE', 'JH', 'AH', 'T', 'EY', 'T', 'S']",-0.34
213,agitating,"['AE', 'JH', 'AH', 'T', 'EY', 'T', 'IH', 'NG']",-0.4215
214,agitation,"['AE', 'JH', 'AH', 'T', 'EY', 'SH', 'AH', 'N']",-0.25
215,agitational,"['AE', 'JH', 'AH', 'T', 'EY', 'SH', 'AH', 'N', 'AH', 'L']",-0.296
216,agitations,"['AE', 'JH', 'AH', 'T', 'EY', 'SH', 'AH', 'N', 'Z']",-0.3182
217,agitative,"['AE', 'JH', 'AH', 'T', 'EY', 'T', 'IH', 'V']",-0.3182
218,agitato,"['AH', 'JH', 'IH', 'T', 'AH', 'T', 'OW']",-0.0258
219,agitator,"['AE', 'JH', 'AH', 'T', 'EY', 'T', 'ER']",-0.34
220,agitators,"['AE', 'JH', 'IH', 'T', 'EY', 'T', 'ER', 'Z']",-0.4767
221,agog,"['AH', 'G', 'AA', 'G']",0.4404
222,agonise,"['AE', 'G', 'AH', 'N', 'AY', 'Z']",-0.4767
223,agonised,"['AE', 'G', 'AH', 'N', 'IY', 'Z', 'D']",-0.5106
224,agonises,"['AE', 'G', 'AH', 'N', 'IY', 'Z', 'IH', 'Z']",-0.5267
225,agonising,"['AE', 'G', 'AH', 'N', 'IY', 'Z', 'IH', 'NG']",-0.3612
226,agonize,"['AE', 'G', 'AH', 'N', 'AY', 'Z']",-0.5106
227,agonized,"['AE', 'G', 'AH', 'N', 'AY', 'Z', 'D']",-0.4939
228,agonizes,"['AE', 'G', 'AH', 'N', 'AY', 'Z', 'IH', 'Z']",-0.5106
229,agonizing,"['AE', 'G', 'AH', 'N', 'AY', 'Z', 'IH', 'NG']",-0.5719
230,agonizingly,"['AE', 'G', 'AH', 'N', 'AY', 'Z', 'IH', 'NG', 'L', 'IY']",-0.5106
231,agony,"['AE', 'G', 'AH', 'N', 'IY']",-0.4215
232,agree,"['AH', 'G', 'R', 'IY']",0.3612
233,agreeability,"['AH', 'G', 'R', 'IY', 'AH', 'B', 'IH', 'L', 'AH', 'T', 'EH']",0.4404
234,agreeable,"['AH', 'G', 'R', 'IY', 'AH', 'B', 'AH', 'L']",0.4215
235,agreeableness,"['AH', 'G', 'R', 'IY', 'AH', 'B', 'AH', 'L', 'N', 'AH', 'S']",0.4215
236,agreeablenesses,"['AH', 'G', 'R', 'IY', 'AH', 'B', 'AH', 'L', 'N', 'AH', 'S', 'IH', 'Z']",0.3182
237,agreeably,"['AH', 'G', 'R', 'IY', 'AH', 'B', 'L', 'IY']",0.3818
238,agreed,"['AH', 'G', 'R', 'IY', 'D']",0.2732
239,agreeing,"['AH', 'G', 'R', 'IY', 'IH', 'NG']",0.34
240,agreement,"['AH', 'G', 'R', 'IY', 'M', 'AH', 'N', 'T']",0.4939
241,agreements,"['AH', 'G', 'R', 'IY', 'M', 'AH', 'N', 'T', 'S']",0.2732
242,agrees,"['AH', 'G', 'R', 'IY', 'Z']",0.2023
243,alarm,"['AH', 'L', 'AA', 'R', 'M']",-0.34
244,alarmed,"['AH', 'L', 'AA', 'R', 'M', 'D']",-0.34
245,alarming,"['AH', 'L', 'AA', 'R', 'M', 'IH', 'NG']",-0.128
246,alarmingly,"['AH', 'L', 'AA', 'R', 'M', 'IH', 'NG', 'L', 'IY']",-0.5574
247,alarmism,"['AH', 'L', 'AA', 'R', 'M', 'IH', 'Z', 'AH', 'M']",-0.0772
248,alarmists,"['AH', 'L', 'AA', 'R', 'M', 'IH', 'S', 'T', 'S']",-0.2732
249,alarms,"['AH', 'L', 'AA', 'R', 'M', 'Z']",-0.2732
250,alas,"['AH', 'L', 'AE', 'S']",-0.2732
251,alert,"['AH', 'L', 'ER', 'T']",0.296
252,alienation,"['EY', 'L', 'IY', 'AH', 'N', 'EY', 'SH', 'AH', 'N']",-0.2732
253,alive,"['AH', 'L', 'AY', 'V']",0.3818
254,allergic,"['AH', 'L', 'ER', 'JH', 'IH', 'K']",-0.296
255,allow,"['AH', 'L', 'AW']",0.2263
256,alone,"['AH', 'L', 'OW', 'N']",-0.25
257,alright,"['AO', 'L', 'R', 'AY', 'T']",0.25
258,amaze,"['AH', 'M', 'EY', 'Z']",0.5423
259,amazed,"['AH', 'M', 'EY', 'Z', 'D']",0.4939
260,amazedly,"['AH', 'M', 'EY', 'Z', 'AH', 'D', 'L', 'IY']",0.4767
261,amazement,"['AH', 'M', 'EY', 'Z', 'M', 'AH', 'N', 'T']",0.5423
262,amazements,"['AH', 'M', 'EY', 'Z', 'M', 'AH', 'N', 'T', 'S']",0.4939
263,amazes,"['AH', 'M', 'EY', 'Z', 'IH', 'Z']",0.4939
264,amazing,"['AH', 'M', 'EY', 'Z', 'IH', 'NG']",0.5859
265,amazon,"['AE', 'M', 'AH', 'Z', 'AA', 'N']",0.1779
266,amazonite,"['AH', 'M', 'AE', 'Z', 'AH', 'N', 'AY', 'T']",0.0516
267,amazons,"['AE', 'M', 'AH', 'Z', 'AA', 'N', 'Z']",-0.0258
268,amazonstone,"['AE', 'M', 'AH', 'Z', 'AA', 'N', 'S', 'T', 'OW', 'N']",0.25
269,amazonstones,"['AE', 'M', 'AH', 'Z', 'AA', 'N', 'S', 'T', 'OW', 'N', 'Z']",0.0516
270,ambitious,"['AE', 'M', 'B', 'IH', 'SH', 'AH', 'S']",0.4767
271,ambivalent,"['AE', 'M', 'B', 'IH', 'V', 'AH', 'L', 'AH', 'N', 'T']",0.128
272,amor,"['AE', 'M', 'ER']",0.6124
273,amoral,"['EY', 'M', 'AO', 'R', 'AH', 'L']",-0.3818
274,amoralism,"['EY', 'M', 'AO', 'R', 'AH', 'L', 'IH', 'Z', 'AH', 'M']",-0.1779
275,amoralisms,"['EY', 'M', 'AO', 'R', 'AH', 'L', 'IH', 'Z', 'AH', 'M', 'Z']",-0.1779
276,amoralities,"['EY', 'M', 'AH', 'R', 'AE', 'L', 'AH', 'T', 'IY', 'Z']",-0.296
277,amorality,"['EY', 'M', 'AH', 'R', 'AE', 'L', 'AH', 'T', 'IY']",-0.3612
278,amorally,"['EY', 'M', 'AO', 'R', 'AH', 'L', 'IY']",-0.25
279,amoretti,"['AE', 'M', 'AH', 'R', 'EH', 'T', 'IY']",0.0516
280,amoretto,"['AE', 'M', 'AH', 'R', 'EH', 'T', 'OW']",0.1531
281,amorettos,"['AE', 'M', 'AH', 'R', 'EH', 'T', 'AH', 'Z']",0.0772
282,amorino,"['AH', 'M', 'AO', 'R', 'AH', 'N', 'OW']",0.296
283,amorist,"['AE', 'M', 'ER', 'AH', 'S', 'T']",0.3818
284,amoristic,"['AE', 'M', 'AH', 'R', 'AH', 'S', 'T', 'IH', 'K']",0.25
285,amorists,"['AE', 'M', 'AH', 'R', 'AH', 'S', 'T', 'S']",0.0258
286,amoroso,"['AA', 'M', 'AO', 'R', 'OW', 'S', 'OW']",0.5106
287,amorous,"['AE', 'M', 'ER', 'AH', 'S']",0.4215
288,amorously,"['AE', 'M', 'AH', 'R', 'AH', 'S', 'L', 'IY']",0.5106
