ONCE	W AH N S
SAD	S AE D
UNCERTAIN	AH N S ER T AH N
RUSTLING	R AH S L IH NG
OF	AH V
EACH	IY CH
PURPLE	P ER P AH L
CURTAIN	K ER T AH N
THRILLED	TH R IH L D
MEFILLED	M EH F AH L D
ME	M IY
WITH	W IH DH
WITH(2)	W IH TH
FANTASTIC	F AE N T AE S T IH K
TERRORS	T EH R AH R Z
NEVER	N EH V ER
FELT	F EH L T
BEFORE	B IH F AO R
BEFORE(2)	B IY F AO R
SO	S OW
THAT	DH AE T
THAT(2)	DH AH T
NOW	N AW
TO	T UW
TO(2)	T IH
TO(3)	T AH
STILL	S T IH L
THE	DH AH
THE(2)	DH IY
BEATING	B IY T IH NG
OF	AH V
MY	M AY
HEART	HH AA R T
I	AY
STOOD	S T UH D
REPEATING	R IH P IY T IH NG
REPEATING(2)	R IY P IY T IH NG
TIS	T IH Z
SOME	S AH M
VISITOR	V IH Z IH T ER
ENTREATING	EH N T R IY T IH NG
ENTRANCE	EH N T R AH N S
AT	AE T
MY	M AY
CHAMBER	CH EY M B ER
DOOR	D AO R
SOME	S AH M
LATE	L EY T
VISITOR	V IH Z IH T ER
ENTREATING	EH N T R IY T IH NG
ENTRANCE	EH N T R AH N S
AT	AE T
MY	M AY
CHAMBER	CH EY M B ER
DOOR	D AO R
THIS	DH IH S
IT	IH T
IS	IH Z
AND	AH N D
AND(2)	AE N D
NOTHING	N AH TH IH NG
MORE	M AO R
PRESENTLY	P R EH Z AH N T L IY
MY	M AY
SOUL	S OW L
GREW	G R UW
STRONGER	S T R AO NG G ER
HESITATING	HH EH Z AH T EY T IH NG
THEN	DH EH N
NO	N OW
LONGER	L AO NG G ER
SIR	S ER
SAID	S EH D
I	AY
OR	AO R
OR(2)	ER
MADAM	M AE D AH M
TRULY	T R UW L IY
YOUR	Y AO R
YOUR(2)	Y UH R
FORGIVENESS	F ER G IH V N AH S
FORGIVENESS(2)	F AO R G IH V N AH S
I	AY
IMPLORE	IH M P L AO R
BUT	B AH T
THE	DH AH
THE(2)	DH IY
FACT	F AE K T
IS	IH Z
I	AY
WAS	W AA Z
NAPPING	N AE P IH NG
AND	AH N D
AND(2)	AE N D
SO	S OW
GENTLY	JH EH N T L IY
YOU	Y UW
CAME	K EY M
RAPPING	R AE P IH NG
AND	AH N D
AND(2)	AE N D
SO	S OW
FAINTLY	F EY N T L IY
YOU	Y UW
CAME	K EY M
TAPPING	T AE P IH NG
TAPPING	T AE P IH NG
AT	AE T
MY	M AY
CHAMBER	CH EY M B ER
DOOR	D AO R
THAT	DH AE T
THAT(2)	DH AH T
I	AY
SCARCE	S K EH R S
WAS	W AA Z
SURE	SH UH R
I	AY
HEARD	HH ER D
YOUHERE	Y AW HH AH R
I	AY
OPENED	OW P AH N D
WIDE	W AY D
THE	DH AH
THE(2)	DH IY
DOOR	D AO R
DARKNESS	D AA R K N AH S
THERE	DH EH R
AND	AH N D
AND(2)	AE N D
NOTHING	N AH TH IH NG
MORE	M AO R
DEEP	D IY P
INTO	IH N T UW
INTO(2)	IH N T AH
THAT	DH AE T
THAT(2)	DH AH T
DARKNESS	D AA R K N AH S
PEERING	P IY R IH NG
LONG	L AO NG
I	AY
STOOD	S T UH D
THERE	DH EH R
WONDERING	W AH N D ER IH NG
FEARING	F IH R IH NG
DOUBTING	D AW T IH NG
DREAMING	D R IY M IH NG
DREAMS	D R IY M Z
NO	N OW
MORTAL	M AO R T AH L
EVER	EH V ER
DARED	D EH R D
TO	T UW
TO(2)	T IH
TO(3)	T AH
DREAM	D R IY M
BEFORE	B IH F AO R
BEFORE(2)	B IY F AO R
BUT	B AH T
THE	DH AH
THE(2)	DH IY
SILENCE	S AY L AH N S
WAS	W AA Z
UNBROKEN	AH N B R OW K AH N
AND	AH N D
AND(2)	AE N D
THE	DH AH
THE(2)	DH IY
STILLNESS	S T IH L N AH S
GAVE	G EY V
NO	N OW
TOKEN	T OW K AH N
AND	AH N D
AND(2)	AE N D
THE	DH AH
THE(2)	DH IY
ONLY	OW N L IY
WORD	W ER D
THERE	DH EH R
SPOKEN	S P OW K AH N
WAS	W AA Z
THE	DH AH
THE(2)	DH IY
WHISPERED	W IH S P ER D
WHISPERED(2)	HH W IH S P ER D
WORD	W ER D
LENORE	L AH N AO R
THIS	DH IH S
I	AY
WHISPERED	W IH S P ER D
WHISPERED(2)	HH W IH S P ER D
AND	AH N D
AND(2)	AE N D
AN	AE N
AN(2)	AH N
ECHO	EH K OW
MURMURED	M ER M ER D
BACK	B AE K
THE	DH AH
THE(2)	DH IY
WORD	W ER D
LENORE	L AH N AO R
MERELY	M IH R L IY
THIS	DH IH S
AND	AH N D
AND(2)	AE N D
NOTHING	N AH TH IH NG
MORE	M AO R
BACK	B AE K
INTO	IH N T UW
INTO(2)	IH N T AH
THE	DH AH
THE(2)	DH IY
CHAMBER	CH EY M B ER
TURNING	T ER N IH NG
ALL	AO L
MY	M AY
SOUL	S OW L
WITHIN	W IH DH IH N
WITHIN(2)	W IH TH IH N
ME	M IY
BURNING	B ER N IH NG
SOON	S UW N
AGAIN	AH G EH N
AGAIN(2)	AH G EY N
I	AY
HEARD	HH ER D
A	AH
A(2)	EY
TAPPING	T AE P IH NG
SOMEWHAT	S AH M W AH T
SOMEWHAT(2)	S AH M HH W AH T
LOUDER	L AW D ER
THAN	DH AE N
THAN(2)	DH AH N
BEFORE	B IH F AO R
BEFORE(2)	B IY F AO R
SURELY	SH UH R L IY
SAID	S EH D
I	AY
SURELY	SH UH R L IY
THAT	DH AE T
THAT(2)	DH AH T
IS	IH Z
SOMETHING	S AH M TH IH NG
AT	AE T
MY	M AY
WINDOW	W IH N D OW
LATTICE	L AE T AH S
LET	L EH T
ME	M IY
SEE	S IY
THEN	DH EH N
WHAT	W AH T
WHAT(2)	HH W AH T
THEREAT	TH IY R IY T
IS	IH Z
AND	AH N D
AND(2)	AE N D
THIS	DH IH S
MYSTERY	M IH S T ER IY
EXPLORE	IH K S P L AO R
LET	L EH T
MY	M AY
HEART	HH AA R T
BE	B IY
STILL	S T IH L
A	AH
A(2)	EY
MOMENT	M OW M AH N T
AND	AH N D
AND(2)	AE N D
THIS	DH IH S
MYSTERY	M IH S T ER IY
EXPLORE	IH K S P L AO R
TIS	T IH Z
THE	DH AH
THE(2)	DH IY
WIND	W AY N D
WIND(2)	W IH N D
AND	AH N D
AND(2)	AE N D
NOTHING	N AH TH IH NG
MORE	M AO R
OPEN	OW P AH N
HERE	HH IY R
I	AY
FLUNG	F L AH NG
THE	DH AH
THE(2)	DH IY
SHUTTER	SH AH T ER
WHEN	W EH N
WHEN(2)	HH W EH N
WHEN(3)	W IH N
WHEN(4)	HH W IH N
WITH	W IH DH
WITH(2)	W IH TH
MANY	M EH N IY
A	AH
A(2)	EY
FLIRT	F L ER T
AND	AH N D
AND(2)	AE N D
FLUTTER	F L AH T ER
IN	IH N
THERE	DH EH R
STEPPED	S T EH P T
A	AH
A(2)	EY
STATELY	S T EY T L IY
RAVEN	R EY V AH N
OF	AH V
THE	DH AH
THE(2)	DH IY
SAINTLY	S EY N T L IY
DAYS	D EY Z
OF	AH V
YORE	Y AO R
NOT	N AA T
THE	DH AH
THE(2)	DH IY
LEAST	L IY S T
OBEISANCE	OW B EY S AH N S
MADE	M EY D
HE	HH IY
NOT	N AA T
A	AH
A(2)	EY
MINUTE	M IH N AH T
MINUTE(2)	M AY N UW T
MINUTE(3)	M AY N Y UW T
STOPPED	S T AA P T
OR	AO R
OR(2)	ER
STAYED	S T EY D
HE	HH IY
BUT	B AH T
WITH	W IH DH
WITH(2)	W IH TH
MIEN	M IY N
OF	AH V
LORD	L AO R D
OR	AO R
OR(2)	ER
LADY	L EY D IY
PERCHED	P ER CH T
ABOVE	AH B AH V
MY	M AY
CHAMBER	CH EY M B ER
DOOR	D AO R
PERCHED	P ER CH T
UPON	AH P AA N
A	AH
A(2)	EY
BUST	B AH S T
OF	AH V
PALLAS	P AE L AH S
JUST	JH AH S T
JUST(2)	JH IH S T
ABOVE	AH B AH V
MY	M AY
CHAMBER	CH EY M B ER
DOOR	D AO R
PERCHED	P ER CH T
AND	AH N D
AND(2)	AE N D
SAT	S AE T
AND	AH N D
AND(2)	AE N D
NOTHING	N AH TH IH NG
MORE	M AO R
THEN	DH EH N
THIS	DH IH S
EBONY	EH B AH N IY
BIRD	B ER D
BEGUILING	B IH G AY L IH NG
MY	M AY
SAD	S AE D
FANCY	F AE N S IY
INTO	IH N T UW
INTO(2)	IH N T AH
SMILING	S M AY L IH NG
BY	B AY
THE	DH AH
THE(2)	DH IY
GRAVE	G R EY V
AND	AH N D
AND(2)	AE N D
STERN	S T ER N
DECORUM	D IH K AO R AH M
OF	AH V
THE	DH AH
THE(2)	DH IY
COUNTENANCE	K AW N T AH N AH N S
IT	IH T
WORE	W AO R
THOUGH	DH OW
THY	DH AY
CREST	K R EH S T
BE	B IY
SHORN	SH AO R N
AND	AH N D
AND(2)	AE N D
SHAVEN	SH EY V AH N
THOU	DH AW
I	AY
SAID	S EH D
ART	AA R T
SURE	SH UH R
NO	N OW
CRAVEN	K R EY V AH N
GHASTLY	G AE S T L IY
GRIM	G R IH M
AND	AH N D
AND(2)	AE N D
ANCIENT	EY N CH AH N T
ANCIENT(2)	EY N SH AH N T
RAVEN	R EY V AH N
WANDERING	W AA N D ER IH NG
FROM	F R AH M
THE	DH AH
THE(2)	DH IY
NIGHTLY	N AY T L IY
SHORE	SH AO R
TELL	T EH L
ME	M IY
WHAT	W AH T
WHAT(2)	HH W AH T
THY	DH AY
LORDLY	L AO R D L IY
NAME	N EY M
IS	IH Z
ON	AA N
ON(2)	AO N
THE	DH AH
THE(2)	DH IY
NIGHTS	N AY T S
PLUTONIAN	P L UW T OW N IY AH N
SHORE	SH AO R
QUOTH	K W OW TH
THE	DH AH
THE(2)	DH IY
RAVEN	R EY V AH N
NEVERMORE	N EH V ER M AO R
MUCH	M AH CH
I	AY
MARVELLED	M AA R V EH L D
THIS	DH IH S
UNGAINLY	AH N G EY N L IY
FOWL	F AW L
TO	T UW
TO(2)	T IH
TO(3)	T AH
HEAR	HH IY R
DISCOURSE	D IH S K AO R S
SO	S OW
PLAINLY	P L EY N L IY
THOUGH	DH OW
ITS	IH T S
ANSWER	AE N S ER
LITTLE	L IH T AH L
MEANINGLITTLE	M IY N IH NG L IH T AH L
RELEVANCY	R EH L AH V AH N S IY
BORE	B AO R
FOR	F AO R
FOR(2)	F ER
FOR(3)	F R ER
WE	W IY
CANNOT	K AE N AA T
CANNOT(2)	K AH N AA T
HELP	HH EH L P
AGREEING	AH G R IY IH NG
THAT	DH AE T
THAT(2)	DH AH T
NO	N OW
LIVING	L IH V IH NG
HUMAN	HH Y UW M AH N
HUMAN(2)	Y UW M AH N
BEING	B IY IH NG
EVER	EH V ER
YET	Y EH T
WAS	W AA Z
BLESSED	B L EH S T
WITH	W IH DH
WITH(2)	W IH TH
SEEING	S IY IH NG
BIRD	B ER D
ABOVE	AH B AH V
HIS	HH IH Z
CHAMBER	CH EY M B ER
DOOR	D AO R
BIRD	B ER D
OR	AO R
OR(2)	ER
BEAST	B IY S T
UPON	AH P AA N
THE	DH AH
THE(2)	DH IY
SCULPTURED	S K AH L P CH ER D
BUST	B AH S T
ABOVE	AH B AH V
HIS	HH IH Z
CHAMBER	CH EY M B ER
DOOR	D AO R
WITH	W IH DH
WITH(2)	W IH TH
SUCH	S AH CH
NAME	N EY M
AS	AE Z
AS(2)	EH Z
NEVERMORE	N EH V ER M AO R
BUT	B AH T
THE	DH AH
THE(2)	DH IY
RAVEN	R EY V AH N
SITTING	S IH T IH NG
LONELY	L OW N L IY
ON	AA N
ON(2)	AO N
THE	DH AH
THE(2)	DH IY
PLACID	P L AE S AH D
PLACID(2)	P L AE S IH D
BUST	B AH S T
SPOKE	S P OW K
ONLY	OW N L IY
THAT	DH AE T
THAT(2)	DH AH T
ONE	W AH N
ONE(2)	HH W AH N
WORD	W ER D
AS	AE Z
AS(2)	EH Z
IF	IH F
HIS	HH IH Z
SOUL	S OW L
IN	IH N
THAT	DH AE T
THAT(2)	DH AH T
ONE	W AH N
ONE(2)	HH W AH N
WORD	W ER D
HE	HH IY
DID	D IH D
OUTPOUR	AW T P AO R
NOTHING	N AH TH IH NG
FARTHER	F AA R DH ER
THEN	DH EH N
HE	HH IY
UTTEREDNOT	AH T AH R EH D N AH T
A	AH
A(2)	EY
FEATHER	F EH DH ER
THEN	DH EH N
HE	HH IY
FLUTTERED	F L AH T ER D
TILL	T IH L
I	AY
SCARCELY	S K EH R S L IY
MORE	M AO R
THAN	DH AE N
THAN(2)	DH AH N
MUTTERED	M AH T ER D
OTHER	AH DH ER
FRIENDS	F R EH N D Z
HAVE	HH AE V
FLOWN	F L OW N
BEFORE	B IH F AO R
BEFORE(2)	B IY F AO R
ON	AA N
ON(2)	AO N
THE	DH AH
THE(2)	DH IY
MORROW	M AA R OW
MORROW(2)	M AO R OW
HE	HH IY
WILL	W IH L
WILL(2)	W AH L
LEAVE	L IY V
ME	M IY
AS	AE Z
AS(2)	EH Z
MY	M AY
HOPES	HH OW P S
HAVE	HH AE V
FLOWN	F L OW N
BEFORE	B IH F AO R
BEFORE(2)	B IY F AO R
THEN	DH EH N
THE	DH AH
THE(2)	DH IY
BIRD	B ER D
SAID	S EH D
NEVERMORE	N EH V ER M AO R
STARTLED	S T AA R T AH L D
AT	AE T
THE	DH AH
THE(2)	DH IY
STILLNESS	S T IH L N AH S
BROKEN	B R OW K AH N
BY	B AY
REPLY	R IH P L AY
REPLY(2)	R IY P L AY
SO	S OW
APTLY	AE P T L IY
SPOKEN	S P OW K AH N
DOUBTLESS	D AW T L AH S
SAID	S EH D
I	AY
WHAT	W AH T
WHAT(2)	HH W AH T
IT	IH T
UTTERS	AH T ER Z
IS	IH Z
ITS	IH T S
ONLY	OW N L IY
STOCK	S T AA K
AND	AH N D
AND(2)	AE N D
STORE	S T AO R
CAUGHT	K AA T
CAUGHT(2)	K AO T
FROM	F R AH M
SOME	S AH M
UNHAPPY	AH N HH AE P IY
MASTER	M AE S T ER
WHOM	HH UW M
UNMERCIFUL	AH N M ER S IH F AH L
DISASTER	D IH Z AE S T ER
FOLLOWED	F AA L OW D
FAST	F AE S T
AND	AH N D
AND(2)	AE N D
FOLLOWED	F AA L OW D
FASTER	F AE S T ER
TILL	T IH L
HIS	HH IH Z
SONGS	S AO NG Z
ONE	W AH N
ONE(2)	HH W AH N
BURDEN	B ER D AH N
BORE	B AO R
TILL	T IH L
THE	DH AH
THE(2)	DH IY
DIRGES	D ER JH IH Z
OF	AH V
HIS	HH IH Z
HOPE	HH OW P
THAT	DH AE T
THAT(2)	DH AH T
MELANCHOLY	M EH L AH N K AA L IY
BURDEN	B ER D AH N
BORE	B AO R
OF	AH V
NEVERNEVERMORE	N AH V AH R N AH V AH R M AH R
BUT	B AH T
THE	DH AH
THE(2)	DH IY
RAVEN	R EY V AH N
STILL	S T IH L
BEGUILING	B IH G AY L IH NG
ALL	AO L
MY	M AY
FANCY	F AE N S IY
INTO	IH N T UW
INTO(2)	IH N T AH
SMILING	S M AY L IH NG
STRAIGHT	S T R EY T
I	AY
WHEELED	W IY L D
WHEELED(2)	HH W IY L D
A	AH
A(2)	EY
CUSHIONED	K UH SH AH N D
SEAT	S IY T
IN	IH N
FRONT	F R AH N T
OF	AH V
BIRD	B ER D
AND	AH N D
AND(2)	AE N D
BUST	B AH S T
AND	AH N D
AND(2)	AE N D
DOOR	D AO R
THEN	DH EH N
UPON	AH P AA N
THE	DH AH
THE(2)	DH IY
VELVET	V EH L V AH T
SINKING	S IH NG K IH NG
I	AY
BETOOK	B IH T UH K
MYSELF	M AY S EH L F
TO	T UW
TO(2)	T IH
TO(3)	T AH
LINKING	L IH NG K IH NG
FANCY	F AE N S IY
UNTO	AH N T UW
FANCY	F AE N S IY
THINKING	TH IH NG K IH NG
WHAT	W AH T
WHAT(2)	HH W AH T
THIS	DH IH S
OMINOUS	AA M AH N AH S
BIRD	B ER D
OF	AH V
YORE	Y AO R
WHAT	W AH T
WHAT(2)	HH W AH T
THIS	DH IH S
GRIM	G R IH M
UNGAINLY	AH N G EY N L IY
GHASTLY	G AE S T L IY
GAUNT	G AO N T
AND	AH N D
AND(2)	AE N D
OMINOUS	AA M AH N AH S
BIRD	B ER D
OF	AH V
YORE	Y AO R
MEANT	M EH N T
IN	IH N
CROAKING	K R OW K IH NG
NEVERMORE	N EH V ER M AO R
THIS	DH IH S
I	AY
SAT	S AE T
ENGAGED	IH N G EY JH D
IN	IH N
GUESSING	G EH S IH NG
BUT	B AH T
NO	N OW
SYLLABLE	S IH L AH B AH L
EXPRESSING	IH K S P R EH S IH NG
TO	T UW
TO(2)	T IH
TO(3)	T AH
THE	DH AH
THE(2)	DH IY
FOWL	F AW L
WHOSE	HH UW Z
FIERY	F AY ER IY
EYES	AY Z
NOW	N AW
BURNED	B ER N D
INTO	IH N T UW
INTO(2)	IH N T AH
MY	M AY
BOSOMS	B UH Z AH M Z
CORE	K AO R
THIS	DH IH S
AND	AH N D
AND(2)	AE N D
MORE	M AO R
I	AY
SAT	S AE T
DIVINING	D AH V AY N IH NG
WITH	W IH DH
WITH(2)	W IH TH
MY	M AY
HEAD	HH EH D
AT	AE T
EASE	IY Z
RECLINING	R IH K L AY N IH NG
RECLINING(2)	R IY K L AY N IH NG
ON	AA N
ON(2)	AO N
THE	DH AH
THE(2)	DH IY
CUSHIONS	K UH SH AH N Z
VELVET	V EH L V AH T
LINING	L AY N IH NG
THAT	DH AE T
THAT(2)	DH AH T
THE	DH AH
THE(2)	DH IY
LAMPLIGHT	L AE M P L AY T
GLOATED	G L OW T IH D
OER	OW AH R
BUT	B AH T
WHOSE	HH UW Z
VELVETVIOLET	V EH L V AH T V AY AH L AH T
LINING	L AY N IH NG
WITH	W IH DH
WITH(2)	W IH TH
THE	DH AH
THE(2)	DH IY
LAMPLIGHT	L AE M P L AY T
GLOATING	G L OW T IH NG
OER	OW AH R
SHE	SH IY
SHALL	SH AE L
PRESS	P R EH S
AH	AA
NEVERMORE	N EH V ER M AO R
THEN	DH EH N
METHOUGHT	M EH TH AO T
THE	DH AH
THE(2)	DH IY
AIR	EH R
GREW	G R UW
DENSER	D EH N S ER
PERFUMED	P ER F Y UW M D
FROM	F R AH M
AN	AE N
AN(2)	AH N
UNSEEN	AH N S IY N
CENSER	S EH N S ER
SWUNG	S W AH NG
BY	B AY
SERAPHIM	S ER AA F IY M
WHOSE	HH UW Z
FOOTFALLS	F UH T F AO L Z
TINKLED	T IH NG K AH L D
ON	AA N
ON(2)	AO N
THE	DH AH
THE(2)	DH IY
TUFTED	T AH F T AH D
TUFTED(2)	T AH F T IH D
FLOOR	F L AO R
WRETCH	R EH CH
I	AY
CRIED	K R AY D
THY	DH AY
GOD	G AA D
HATH	HH AE TH
LENT	L EH N T
THEEBY	TH IY B IY
THESE	DH IY Z
ANGELS	EY N JH AH L Z
HE	HH IY
HATH	HH AE TH
SENT	S EH N T
THEE	DH IY
RESPITERESPITE	R EH S P AH T R EH S P AH T
AND	AH N D
AND(2)	AE N D
NEPENTHE	N EH P EH N TH IY
FROM	F R AH M
THY	DH AY
MEMORIES	M EH M ER IY Z
OF	AH V
LENORE	L AH N AO R
QUAFF	K W AA F
OH	OW
QUAFF	K W AA F
THIS	DH IH S
KIND	K AY N D
NEPENTHE	N EH P EH N TH IY
AND	AH N D
AND(2)	AE N D
FORGET	F ER G EH T
FORGET(2)	F AO R G EH T
THIS	DH IH S
LOST	L AO S T
LENORE	L AH N AO R
QUOTH	K W OW TH
THE	DH AH
THE(2)	DH IY
RAVEN	R EY V AH N
NEVERMORE	N EH V ER M AO R
PROPHET	P R AA F AH T
SAID	S EH D
I	AY
THING	TH IH NG
OF	AH V
EVILPROPHET	IY V AH L P R AA F AH T
STILL	S T IH L
IF	IH F
BIRD	B ER D
OR	AO R
OR(2)	ER
DEVIL	D EH V AH L
WHETHER	W EH DH ER
WHETHER(2)	HH W EH DH ER
TEMPTER	T EH M P T ER
SENT	S EH N T
OR	AO R
OR(2)	ER
WHETHER	W EH DH ER
WHETHER(2)	HH W EH DH ER
TEMPEST	T EH M P AH S T
TOSSED	T AO S T
THEE	DH IY
HERE	HH IY R
ASHORE	AH SH AO R
DESOLATE	D EH S AH L AH T
DESOLATE(2)	D EH Z AH L AH T
DESOLATE(3)	D EH S AH L EY T
YET	Y EH T
ALL	AO L
UNDAUNTED	AH N D AO N T IH D
ON	AA N
ON(2)	AO N
THIS	DH IH S
DESERT	D EH Z ER T
DESERT(2)	D IH Z ER T
LAND	L AE N D
ENCHANTED	EH N CH AE N T IH D
ENCHANTED(2)	EH N CH AE N IH D
ON	AA N
ON(2)	AO N
THIS	DH IH S
HOME	HH OW M
BY	B AY
HORROR	HH AO R ER
HAUNTEDTELL	HH AO N T IH D T EH L
ME	M IY
TRULY	T R UW L IY
I	AY
IMPLORE	IH M P L AO R
IS	IH Z
THEREIS	TH IH R IY AH S
THERE	DH EH R
BALM	B AA M
BALM(2)	B AA L M
IN	IH N
GILEADTELL	JH AH L IY D T AH L
METELL	M EH T AH L
ME	M IY
I	AY
IMPLORE	IH M P L AO R
QUOTH	K W OW TH
THE	DH AH
THE(2)	DH IY
RAVEN	R EY V AH N
NEVERMORE	N EH V ER M AO R
PROPHET	P R AA F AH T
SAID	S EH D
I	AY
THING	TH IH NG
OF	AH V
EVILPROPHET	IY V AH L P R AA F AH T
STILL	S T IH L
IF	IH F
BIRD	B ER D
OR	AO R
OR(2)	ER
DEVIL	D EH V AH L
BY	B AY
THAT	DH AE T
THAT(2)	DH AH T
HEAVEN	HH EH V AH N
THAT	DH AE T
THAT(2)	DH AH T
BENDS	B EH N D Z
ABOVE	AH B AH V
USBY	AH Z IY
THAT	DH AE T
THAT(2)	DH AH T
GOD	G AA D
WE	W IY
BOTH	B OW TH
ADORE	AH D AO R
TELL	T EH L
THIS	DH IH S
SOUL	S OW L
WITH	W IH DH
WITH(2)	W IH TH
SORROW	S AA R OW
LADEN	L EY D AH N
IF	IH F
WITHIN	W IH DH IH N
WITHIN(2)	W IH TH IH N
THE	DH AH
THE(2)	DH IY
DISTANT	D IH S T AH N T
AIDENN	EY D EH N
IT	IH T
SHALL	SH AE L
CLASP	K L AE S P
A	AH
A(2)	EY
SAINTED	S EY N T IH D
MAIDEN	M EY D AH N
WHOM	HH UW M
THE	DH AH
THE(2)	DH IY
ANGELS	EY N JH AH L Z
NAME	N EY M
LENORE	L AH N AO R
CLASP	K L AE S P
A	AH
A(2)	EY
RARE	R EH R
AND	AH N D
AND(2)	AE N D
RADIANT	R EY D IY AH N T
MAIDEN	M EY D AH N
WHOM	HH UW M
THE	DH AH
THE(2)	DH IY
ANGELS	EY N JH AH L Z
NAME	N EY M
LENORE	L AH N AO R
QUOTH	K W OW TH
THE	DH AH
THE(2)	DH IY
RAVEN	R EY V AH N
NEVERMORE	N EH V ER M AO R
BE	B IY
THAT	DH AE T
THAT(2)	DH AH T
WORD	W ER D
OUR	AW ER
OUR(2)	AW R
OUR(3)	AA R
SIGN	S AY N
OF	AH V
PARTING	P AA R T IH NG
BIRD	B ER D
OR	AO R
OR(2)	ER
FIEND	F IY N D
I	AY
SHRIEKED	SH R IY K T
UPSTARTING	AH P S T AA R T IH NG
GET	G EH T
GET(2)	G IH T
THEE	DH IY
BACK	B AE K
INTO	IH N T UW
INTO(2)	IH N T AH
THE	DH AH
THE(2)	DH IY
TEMPEST	T EH M P AH S T
AND	AH N D
AND(2)	AE N D
THE	DH AH
THE(2)	DH IY
NIGHTS	N AY T S
PLUTONIAN	P L UW T OW N IY AH N
SHORE	SH AO R
LEAVE	L IY V
NO	N OW
BLACK	B L AE K
PLUME	P L UW M
AS	AE Z
AS(2)	EH Z
A	AH
A(2)	EY
TOKEN	T OW K AH N
OF	AH V
THAT	DH AE T
THAT(2)	DH AH T
LIE	L AY
THY	DH AY
SOUL	S OW L
HATH	HH AE TH
SPOKEN	S P OW K AH N
LEAVE	L IY V
MY	M AY
LONELINESS	L OW N L IY N AH S
UNBROKENQUIT	AH N B R OW K AH N K W IH T
THE	DH AH
THE(2)	DH IY
BUST	B AH S T
ABOVE	AH B AH V
MY	M AY
DOOR	D AO R
TAKE	T EY K
THY	DH AY
BEAK	B IY K
FROM	F R AH M
